"SE","casos","APS"
201247,31,"AP5.1"
201247,5,"AP5.2"
201247,0,"AP5.3"
201248,7,"AP1"
201248,53,"AP2.1"
201248,4,"AP2.2"
201248,19,"AP3.1"
201248,11,"AP3.2"
201248,27,"AP3.3"
201248,15,"AP4"
201248,42,"AP5.1"
201248,12,"AP5.2"
201248,1,"AP5.3"
201249,10,"AP1"
201249,37,"AP2.1"
201249,6,"AP2.2"
201249,32,"AP3.1"
201249,17,"AP3.2"
201249,21,"AP3.3"
201249,18,"AP4"
201249,24,"AP5.1"
201249,12,"AP5.2"
201249,8,"AP5.3"
201250,9,"AP1"
201250,36,"AP2.1"
201250,9,"AP2.2"
201250,21,"AP3.1"
201250,14,"AP3.2"
201250,31,"AP3.3"
201250,26,"AP4"
201250,29,"AP5.1"
201250,16,"AP5.2"
201250,7,"AP5.3"
201251,11,"AP1"
201251,38,"AP2.1"
201251,6,"AP2.2"
201251,21,"AP3.1"
201251,17,"AP3.2"
201251,16,"AP3.3"
201251,17,"AP4"
201251,27,"AP5.1"
201251,10,"AP5.2"
201251,6,"AP5.3"
201252,8,"AP1"
201252,60,"AP2.1"
201252,7,"AP2.2"
201252,13,"AP3.1"
201252,8,"AP3.2"
201252,8,"AP3.3"
201252,18,"AP4"
201252,27,"AP5.1"
201252,11,"AP5.2"
201252,7,"AP5.3"
201301,14,"AP1"
201301,101,"AP2.1"
201301,39,"AP2.2"
201301,21,"AP3.1"
201301,28,"AP3.2"
201301,34,"AP3.3"
201301,60,"AP4"
201301,47,"AP5.1"
201301,52,"AP5.2"
201301,16,"AP5.3"
201302,48,"AP1"
201302,160,"AP2.1"
201302,82,"AP2.2"
201302,56,"AP3.1"
201302,48,"AP3.2"
201302,52,"AP3.3"
201302,112,"AP4"
201302,74,"AP5.1"
201302,58,"AP5.2"
201302,16,"AP5.3"
201303,58,"AP1"
201303,160,"AP2.1"
201303,70,"AP2.2"
201303,54,"AP3.1"
201303,60,"AP3.2"
201303,54,"AP3.3"
201303,104,"AP4"
201303,78,"AP5.1"
201303,67,"AP5.2"
201303,22,"AP5.3"
201304,44,"AP1"
201304,220,"AP2.1"
201304,82,"AP2.2"
201304,65,"AP3.1"
201304,56,"AP3.2"
201304,78,"AP3.3"
201304,137,"AP4"
201304,93,"AP5.1"
201304,100,"AP5.2"
201304,35,"AP5.3"
201305,53,"AP1"
201305,265,"AP2.1"
201305,109,"AP2.2"
201305,85,"AP3.1"
201305,76,"AP3.2"
201305,137,"AP3.3"
201305,118,"AP4"
201305,107,"AP5.1"
201305,95,"AP5.2"
201305,42,"AP5.3"
201306,50,"AP1"
201306,210,"AP2.1"
201306,128,"AP2.2"
201306,100,"AP3.1"
201306,73,"AP3.2"
201306,110,"AP3.3"
201306,148,"AP4"
201306,100,"AP5.1"
201306,69,"AP5.2"
201306,42,"AP5.3"
201307,85,"AP1"
201307,239,"AP2.1"
201307,171,"AP2.2"
201307,127,"AP3.1"
201307,105,"AP3.2"
201307,145,"AP3.3"
201307,156,"AP4"
201307,190,"AP5.1"
201307,105,"AP5.2"
201307,30,"AP5.3"
201308,185,"AP1"
201308,446,"AP2.1"
201308,290,"AP2.2"
201308,219,"AP3.1"
201308,194,"AP3.2"
201308,252,"AP3.3"
201308,271,"AP4"
201308,348,"AP5.1"
201308,204,"AP5.2"
201308,92,"AP5.3"
201309,174,"AP1"
201309,519,"AP2.1"
201309,300,"AP2.2"
201309,293,"AP3.1"
201309,226,"AP3.2"
201309,278,"AP3.3"
201309,399,"AP4"
201309,366,"AP5.1"
201309,301,"AP5.2"
201309,123,"AP5.3"
201310,170,"AP1"
201310,529,"AP2.1"
201310,232,"AP2.2"
201310,336,"AP3.1"
201310,187,"AP3.2"
201310,320,"AP3.3"
201310,445,"AP4"
201310,388,"AP5.1"
201310,302,"AP5.2"
201310,164,"AP5.3"
201311,249,"AP1"
201311,753,"AP2.1"
201311,302,"AP2.2"
201311,429,"AP3.1"
201311,268,"AP3.2"
201311,477,"AP3.3"
201311,509,"AP4"
201311,518,"AP5.1"
201311,396,"AP5.2"
201311,206,"AP5.3"
201312,248,"AP1"
201312,638,"AP2.1"
201312,386,"AP2.2"
201312,413,"AP3.1"
201312,229,"AP3.2"
201312,453,"AP3.3"
201312,602,"AP4"
201312,571,"AP5.1"
201312,343,"AP5.2"
201312,207,"AP5.3"
201313,242,"AP1"
201313,693,"AP2.1"
201313,339,"AP2.2"
201313,473,"AP3.1"
201313,219,"AP3.2"
201313,432,"AP3.3"
201313,503,"AP4"
201313,452,"AP5.1"
201313,387,"AP5.2"
201313,155,"AP5.3"
201314,348,"AP1"
201314,892,"AP2.1"
201314,384,"AP2.2"
201314,517,"AP3.1"
201314,356,"AP3.2"
201314,585,"AP3.3"
201314,808,"AP4"
201314,540,"AP5.1"
201314,528,"AP5.2"
201314,158,"AP5.3"
201315,350,"AP1"
201315,971,"AP2.1"
201315,460,"AP2.2"
201315,459,"AP3.1"
201315,360,"AP3.2"
201315,541,"AP3.3"
201315,673,"AP4"
201315,574,"AP5.1"
201315,532,"AP5.2"
201315,195,"AP5.3"
201316,345,"AP1"
201316,820,"AP2.1"
201316,419,"AP2.2"
201316,355,"AP3.1"
201316,328,"AP3.2"
201316,399,"AP3.3"
201316,597,"AP4"
201316,413,"AP5.1"
201316,394,"AP5.2"
201316,170,"AP5.3"
201317,218,"AP1"
201317,631,"AP2.1"
201317,306,"AP2.2"
201317,222,"AP3.1"
201317,220,"AP3.2"
201317,297,"AP3.3"
201317,413,"AP4"
201317,280,"AP5.1"
201317,293,"AP5.2"
201317,109,"AP5.3"
201318,231,"AP1"
201318,528,"AP2.1"
201318,195,"AP2.2"
201318,183,"AP3.1"
201318,253,"AP3.2"
201318,388,"AP3.3"
201318,250,"AP4"
201318,418,"AP5.1"
201318,292,"AP5.2"
201318,109,"AP5.3"
201319,150,"AP1"
201319,386,"AP2.1"
201319,202,"AP2.2"
201319,106,"AP3.1"
201319,161,"AP3.2"
201319,236,"AP3.3"
201319,181,"AP4"
201319,232,"AP5.1"
201319,179,"AP5.2"
201319,102,"AP5.3"
201320,128,"AP1"
201320,252,"AP2.1"
201320,111,"AP2.2"
201320,80,"AP3.1"
201320,105,"AP3.2"
201320,158,"AP3.3"
201320,95,"AP4"
201320,161,"AP5.1"
201320,127,"AP5.2"
201320,57,"AP5.3"
201321,77,"AP1"
201321,153,"AP2.1"
201321,82,"AP2.2"
201321,68,"AP3.1"
201321,96,"AP3.2"
201321,148,"AP3.3"
201321,84,"AP4"
201321,121,"AP5.1"
201321,96,"AP5.2"
201321,38,"AP5.3"
201322,50,"AP1"
201322,101,"AP2.1"
201322,22,"AP2.2"
201322,57,"AP3.1"
201322,50,"AP3.2"
201322,82,"AP3.3"
201322,57,"AP4"
201322,76,"AP5.1"
201322,45,"AP5.2"
201322,31,"AP5.3"
201323,27,"AP1"
201323,87,"AP2.1"
201323,24,"AP2.2"
201323,41,"AP3.1"
201323,61,"AP3.2"
201323,75,"AP3.3"
201323,34,"AP4"
201323,61,"AP5.1"
201323,37,"AP5.2"
201323,21,"AP5.3"
201324,20,"AP1"
201324,61,"AP2.1"
201324,16,"AP2.2"
201324,31,"AP3.1"
201324,43,"AP3.2"
201324,64,"AP3.3"
201324,39,"AP4"
201324,57,"AP5.1"
201324,34,"AP5.2"
201324,18,"AP5.3"
201325,19,"AP1"
201325,42,"AP2.1"
201325,19,"AP2.2"
201325,18,"AP3.1"
201325,30,"AP3.2"
201325,43,"AP3.3"
201325,20,"AP4"
201325,52,"AP5.1"
201325,27,"AP5.2"
201325,24,"AP5.3"
201326,3,"AP1"
201326,41,"AP2.1"
201326,7,"AP2.2"
201326,15,"AP3.1"
201326,26,"AP3.2"
201326,27,"AP3.3"
201326,41,"AP4"
201326,31,"AP5.1"
201326,27,"AP5.2"
201326,17,"AP5.3"
201327,7,"AP1"
201327,31,"AP2.1"
201327,7,"AP2.2"
201327,15,"AP3.1"
201327,21,"AP3.2"
201327,38,"AP3.3"
201327,19,"AP4"
201327,28,"AP5.1"
201327,7,"AP5.2"
201327,13,"AP5.3"
201328,4,"AP1"
201328,16,"AP2.1"
201328,2,"AP2.2"
201328,7,"AP3.1"
201328,16,"AP3.2"
201328,28,"AP3.3"
201328,29,"AP4"
201328,24,"AP5.1"
201328,6,"AP5.2"
201328,5,"AP5.3"
201329,7,"AP1"
201329,22,"AP2.1"
201329,1,"AP2.2"
201329,11,"AP3.1"
201329,8,"AP3.2"
201329,20,"AP3.3"
201329,19,"AP4"
201329,17,"AP5.1"
201329,10,"AP5.2"
201329,9,"AP5.3"
201330,2,"AP1"
201330,10,"AP2.1"
201330,5,"AP2.2"
201330,6,"AP3.1"
201330,7,"AP3.2"
201330,9,"AP3.3"
201330,8,"AP4"
201330,10,"AP5.1"
201330,1,"AP5.2"
201330,4,"AP5.3"
201331,8,"AP1"
201331,17,"AP2.1"
201331,4,"AP2.2"
201331,5,"AP3.1"
201331,6,"AP3.2"
201331,7,"AP3.3"
201331,11,"AP4"
201331,7,"AP5.1"
201331,11,"AP5.2"
201331,3,"AP5.3"
201332,2,"AP1"
201332,8,"AP2.1"
201332,4,"AP2.2"
201332,4,"AP3.1"
201332,4,"AP3.2"
201332,4,"AP3.3"
201332,11,"AP4"
201332,9,"AP5.1"
201332,9,"AP5.2"
201332,3,"AP5.3"
201333,0,"AP1"
201333,11,"AP2.1"
201333,1,"AP2.2"
201333,3,"AP3.1"
201333,3,"AP3.2"
201333,9,"AP3.3"
201333,2,"AP4"
201333,4,"AP5.1"
201333,8,"AP5.2"
201333,2,"AP5.3"
201334,3,"AP1"
201334,7,"AP2.1"
201334,0,"AP2.2"
201334,2,"AP3.1"
201334,11,"AP3.2"
201334,5,"AP3.3"
201334,2,"AP4"
201334,13,"AP5.1"
201334,5,"AP5.2"
201334,5,"AP5.3"
201335,0,"AP1"
201335,3,"AP2.1"
201335,0,"AP2.2"
201335,1,"AP3.1"
201335,2,"AP3.2"
201335,4,"AP3.3"
201335,3,"AP4"
201335,11,"AP5.1"
201335,10,"AP5.2"
201335,1,"AP5.3"
201336,4,"AP1"
201336,14,"AP2.1"
201336,1,"AP2.2"
201336,1,"AP3.1"
201336,2,"AP3.2"
201336,6,"AP3.3"
201336,4,"AP4"
201336,7,"AP5.1"
201336,5,"AP5.2"
201336,2,"AP5.3"
201337,4,"AP1"
201337,7,"AP2.1"
201337,2,"AP2.2"
201337,0,"AP3.1"
201337,6,"AP3.2"
201337,6,"AP3.3"
201337,4,"AP4"
201337,8,"AP5.1"
201337,3,"AP5.2"
201337,14,"AP5.3"
201338,1,"AP1"
201338,6,"AP2.1"
201338,2,"AP2.2"
201338,1,"AP3.1"
201338,4,"AP3.2"
201338,11,"AP3.3"
201338,2,"AP4"
201338,6,"AP5.1"
201338,1,"AP5.2"
201338,5,"AP5.3"
201339,6,"AP1"
201339,8,"AP2.1"
201339,4,"AP2.2"
201339,4,"AP3.1"
201339,7,"AP3.2"
201339,5,"AP3.3"
201339,8,"AP4"
201339,10,"AP5.1"
201339,2,"AP5.2"
201339,9,"AP5.3"
201340,0,"AP1"
201340,5,"AP2.1"
201340,1,"AP2.2"
201340,3,"AP3.1"
201340,1,"AP3.2"
201340,14,"AP3.3"
201340,10,"AP4"
201340,4,"AP5.1"
201340,3,"AP5.2"
201340,5,"AP5.3"
201341,2,"AP1"
201341,6,"AP2.1"
201341,2,"AP2.2"
201341,1,"AP3.1"
201341,6,"AP3.2"
201341,8,"AP3.3"
201341,4,"AP4"
201341,9,"AP5.1"
201341,3,"AP5.2"
201341,3,"AP5.3"
201342,2,"AP1"
201342,7,"AP2.1"
201342,3,"AP2.2"
201342,2,"AP3.1"
201342,3,"AP3.2"
201342,6,"AP3.3"
201342,9,"AP4"
201342,11,"AP5.1"
201342,1,"AP5.2"
201342,3,"AP5.3"
201343,1,"AP1"
201343,7,"AP2.1"
201343,0,"AP2.2"
201343,3,"AP3.1"
201343,2,"AP3.2"
201343,16,"AP3.3"
201343,11,"AP4"
201343,12,"AP5.1"
201343,2,"AP5.2"
201343,4,"AP5.3"
201344,2,"AP1"
201344,14,"AP2.1"
201344,0,"AP2.2"
201344,1,"AP3.1"
201344,5,"AP3.2"
201344,8,"AP3.3"
201344,6,"AP4"
201344,8,"AP5.1"
201344,2,"AP5.2"
201344,8,"AP5.3"
201345,2,"AP1"
201345,6,"AP2.1"
201345,3,"AP2.2"
201345,1,"AP3.1"
201345,3,"AP3.2"
201345,5,"AP3.3"
201345,6,"AP4"
201345,8,"AP5.1"
201345,3,"AP5.2"
201345,1,"AP5.3"
201346,2,"AP1"
201346,8,"AP2.1"
201346,2,"AP2.2"
201346,4,"AP3.1"
201346,6,"AP3.2"
201346,3,"AP3.3"
201346,4,"AP4"
201346,9,"AP5.1"
201346,3,"AP5.2"
201346,1,"AP5.3"
201347,4,"AP1"
201347,17,"AP2.1"
201347,3,"AP2.2"
201347,3,"AP3.1"
201347,4,"AP3.2"
201347,15,"AP3.3"
201347,8,"AP4"
201347,10,"AP5.1"
201347,1,"AP5.2"
201347,0,"AP5.3"
201348,3,"AP1"
201348,21,"AP2.1"
201348,0,"AP2.2"
201348,5,"AP3.1"
201348,13,"AP3.2"
201348,11,"AP3.3"
201348,17,"AP4"
201348,14,"AP5.1"
201348,2,"AP5.2"
201348,2,"AP5.3"
201349,6,"AP1"
201349,18,"AP2.1"
201349,0,"AP2.2"
201349,2,"AP3.1"
201349,15,"AP3.2"
201349,20,"AP3.3"
201349,16,"AP4"
201349,10,"AP5.1"
201349,1,"AP5.2"
201349,4,"AP5.3"
201350,2,"AP1"
201350,12,"AP2.1"
201350,3,"AP2.2"
201350,3,"AP3.1"
201350,6,"AP3.2"
201350,11,"AP3.3"
201350,13,"AP4"
201350,10,"AP5.1"
201350,1,"AP5.2"
201350,1,"AP5.3"
201351,3,"AP1"
201351,2,"AP2.1"
201351,1,"AP2.2"
201351,2,"AP3.1"
201351,4,"AP3.2"
201351,2,"AP3.3"
201351,5,"AP4"
201351,5,"AP5.1"
201351,1,"AP5.2"
201351,0,"AP5.3"
201352,0,"AP1"
201352,0,"AP2.1"
201352,0,"AP2.2"
201352,0,"AP3.1"
201352,1,"AP3.2"
201352,1,"AP3.3"
201352,0,"AP4"
201352,0,"AP5.1"
201352,1,"AP5.2"
201352,0,"AP5.3"
201401,0,"AP1"
201401,0,"AP2.1"
201401,0,"AP2.2"
201401,0,"AP3.1"
201401,0,"AP3.2"
201401,0,"AP3.3"
201401,0,"AP4"
201401,0,"AP5.1"
201401,0,"AP5.2"
201401,0,"AP5.3"
201401,2,"AP1"
201401,8,"AP2.1"
201401,6,"AP2.2"
201401,10,"AP3.1"
201401,7,"AP3.2"
201401,9,"AP3.3"
201401,0,"AP4"
201401,14,"AP5.1"
201401,4,"AP5.2"
201401,1,"AP5.3"
201402,7,"AP1"
201402,6,"AP2.1"
201402,10,"AP2.2"
201402,21,"AP3.1"
201402,16,"AP3.2"
201402,10,"AP3.3"
201402,20,"AP4"
201402,18,"AP5.1"
201402,5,"AP5.2"
201402,3,"AP5.3"
201403,4,"AP1"
201403,6,"AP2.1"
201403,9,"AP2.2"
201403,18,"AP3.1"
201403,10,"AP3.2"
201403,10,"AP3.3"
201403,6,"AP4"
201403,23,"AP5.1"
201403,14,"AP5.2"
201403,4,"AP5.3"
201404,7,"AP1"
201404,11,"AP2.1"
201404,9,"AP2.2"
201404,28,"AP3.1"
201404,6,"AP3.2"
201404,8,"AP3.3"
201404,11,"AP4"
201404,14,"AP5.1"
201404,11,"AP5.2"
201404,0,"AP5.3"
201405,4,"AP1"
201405,5,"AP2.1"
201405,4,"AP2.2"
201405,18,"AP3.1"
201405,13,"AP3.2"
201405,7,"AP3.3"
201405,10,"AP4"
201405,17,"AP5.1"
201405,7,"AP5.2"
201405,2,"AP5.3"
201406,10,"AP1"
201406,8,"AP2.1"
201406,2,"AP2.2"
201406,10,"AP3.1"
201406,8,"AP3.2"
201406,8,"AP3.3"
201406,14,"AP4"
201406,18,"AP5.1"
201406,3,"AP5.2"
201406,5,"AP5.3"
201407,3,"AP1"
201407,8,"AP2.1"
201407,10,"AP2.2"
201407,8,"AP3.1"
201407,8,"AP3.2"
201407,9,"AP3.3"
201407,8,"AP4"
201407,16,"AP5.1"
201407,6,"AP5.2"
201407,6,"AP5.3"
201408,2,"AP1"
201408,9,"AP2.1"
201408,9,"AP2.2"
201408,7,"AP3.1"
201408,12,"AP3.2"
201408,4,"AP3.3"
201408,3,"AP4"
201408,17,"AP5.1"
201408,16,"AP5.2"
201408,3,"AP5.3"
201409,3,"AP1"
201409,14,"AP2.1"
201409,8,"AP2.2"
201409,3,"AP3.1"
201409,4,"AP3.2"
201409,5,"AP3.3"
201409,3,"AP4"
201409,10,"AP5.1"
201409,1,"AP5.2"
201409,0,"AP5.3"
201410,2,"AP1"
201410,4,"AP2.1"
201410,6,"AP2.2"
201410,1,"AP3.1"
201410,6,"AP3.2"
201410,12,"AP3.3"
201410,4,"AP4"
201410,14,"AP5.1"
201410,6,"AP5.2"
201410,2,"AP5.3"
201411,2,"AP1"
201411,4,"AP2.1"
201411,6,"AP2.2"
201411,4,"AP3.1"
201411,3,"AP3.2"
201411,6,"AP3.3"
201411,5,"AP4"
201411,10,"AP5.1"
201411,6,"AP5.2"
201411,3,"AP5.3"
201412,7,"AP1"
201412,8,"AP2.1"
201412,6,"AP2.2"
201412,8,"AP3.1"
201412,7,"AP3.2"
201412,9,"AP3.3"
201412,5,"AP4"
201412,12,"AP5.1"
201412,3,"AP5.2"
201412,2,"AP5.3"
201413,6,"AP1"
201413,5,"AP2.1"
201413,3,"AP2.2"
201413,5,"AP3.1"
201413,5,"AP3.2"
201413,7,"AP3.3"
201413,5,"AP4"
201413,14,"AP5.1"
201413,8,"AP5.2"
201413,5,"AP5.3"
201414,4,"AP1"
201414,3,"AP2.1"
201414,1,"AP2.2"
201414,2,"AP3.1"
201414,1,"AP3.2"
201414,5,"AP3.3"
201414,7,"AP4"
201414,12,"AP5.1"
201414,3,"AP5.2"
201414,4,"AP5.3"
201415,2,"AP1"
201415,7,"AP2.1"
201415,0,"AP2.2"
201415,3,"AP3.1"
201415,0,"AP3.2"
201415,10,"AP3.3"
201415,5,"AP4"
201415,16,"AP5.1"
201415,5,"AP5.2"
201415,10,"AP5.3"
201416,3,"AP1"
201416,5,"AP2.1"
201416,0,"AP2.2"
201416,1,"AP3.1"
201416,2,"AP3.2"
201416,9,"AP3.3"
201416,1,"AP4"
201416,3,"AP5.1"
201416,2,"AP5.2"
201416,3,"AP5.3"
201417,1,"AP1"
201417,1,"AP2.1"
201417,2,"AP2.2"
201417,0,"AP3.1"
201417,0,"AP3.2"
201417,1,"AP3.3"
201417,2,"AP4"
201417,4,"AP5.1"
201417,2,"AP5.2"
201417,1,"AP5.3"
201418,0,"AP1"
201418,0,"AP2.1"
201418,0,"AP2.2"
201418,0,"AP3.1"
201418,0,"AP3.2"
201418,0,"AP3.3"
201418,0,"AP4"
201418,0,"AP5.1"
201418,0,"AP5.2"
201418,0,"AP5.3"
