"julian","SE","data","dia","casos","twits","tmin","tmed","tmax","t18","t24","t28","t32","mmchuva","diaschuva","umin","umed","casosq","Rt"
-5,0,200952,"27Dec2009",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,201001,"3Jan2010",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
9,2,201002,"10Jan2010",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1.76
16,3,201003,"17Jan2010",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.06818181818182
23,4,201004,"24Jan2010",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1.21276595744681
30,5,201005,"31Jan2010",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1.26315789473684
37,6,201006,"7Feb2010",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,0.986111111111111
44,7,201007,"14Feb2010",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1.12676056338028
51,8,201008,"21Feb2010",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1.2125
58,9,201009,"28Feb2010",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1.10309278350515
65,10,201010,"7Mar2010",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,0.953271028037383
72,11,201011,"14Mar2010",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0.901960784313726
79,12,201012,"21Mar2010",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,1.27173913043478
86,13,201013,"28Mar2010",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,0.982905982905983
93,14,201014,"4Apr2010",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,0.747826086956522
100,15,201015,"11Apr2010",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1.05813953488372
107,16,201016,"18Apr2010",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1.17582417582418
114,17,201017,"25Apr2010",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,1.30841121495327
121,18,201018,"2May2010",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,1.26428571428571
128,19,201019,"9May2010",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,0.875706214689266
135,20,201020,"16May2010",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,0.851612903225806
142,21,201021,"23May2010",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,1.00757575757576
149,22,201022,"30May2010",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,0.894736842105263
156,23,201023,"6Jun2010",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,0.747899159663866
163,24,201024,"13Jun2010",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1.0561797752809
170,25,201025,"20Jun2010",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,1.09574468085106
177,26,201026,"27Jun2010",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0.893203883495146
184,27,201027,"4Jul2010",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,1.25
191,28,201028,"11Jul2010",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,1.02608695652174
198,29,201029,"18Jul2010",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,0.872881355932203
205,30,201030,"25Jul2010",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,1.33009708737864
212,31,201031,"1Aug2010",84,NA,16.7860714285714,20.0220946212957,28.1675,4.92534722222222,0.802083333333333,0.0295138888888889,0,13,0.225694444444444,59.0492857142857,81.9534207207339,172,1.25547445255474
219,32,201032,"8Aug2010",73,NA,16.7328571428571,20.3074194590132,33.62,5.11631944444444,1.06770833333333,0.390625,0.09375,2.25,0.0555555555555556,47.95,69.6868483988206,157,0.912790697674419
226,33,201033,"15Aug2010",49,NA,14.2853571428571,19.1667527905592,31.0925,3.90972222222222,1.06423611111111,0.236111111111111,0.00520833333333333,3.1,0.0538194444444444,42.1371428571429,70.8886686345888,122,0.777070063694268
233,34,201034,"22Aug2010",53,NA,18.8982142857143,24.4112730113163,37.5925,6.49652777777778,3.04340277777778,1.62152777777778,0.857638888888889,0,0,33.4114285714286,63.0932912694364,102,0.836065573770492
240,35,201035,"29Aug2010",35,NA,20.475,25.23865187522,38.185,6.875,3.43402777777778,1.59548611111111,0.824652777777778,0.125,0.00347222222222222,39.945,66.6006902545917,88,0.862745098039216
247,36,201036,"5Sep2010",35,NA,18.2571428571429,21.9341507577034,34.7625,6.20833333333333,1.76215277777778,0.565972222222222,0.118055555555556,28.05,0.244791666666667,48.8739285714286,73.9540005204942,70,0.795454545454545
254,37,201037,"12Sep2010",45,NA,20.2646428571429,23.9989246719832,37.41,6.79513888888889,2.609375,1.15625,0.534722222222222,3.55,0.0416666666666667,47.6189285714286,70.5739951541514,80,1.14285714285714
261,38,201038,"19Sep2010",31,NA,20.6307142857143,24.8489592773655,37.69,6.85069444444444,3.34722222222222,1.49479166666667,0.539930555555556,8.325,0.215277777777778,45.775,71.389235666547,76,0.95
268,39,201039,"26Sep2010",26,NA,21.0689285714286,23.5717978845462,31.58,6.65972222222222,2.69097222222222,0.690972222222222,0.0416666666666667,35.3,0.536458333333333,65.0496428571429,86.3628592055589,57,0.75
275,40,201040,"3Oct2010",25,NA,19.9889285714286,23.8261910493037,36.255,6.671875,2.93229166666667,1.07986111111111,0.319444444444444,4.925,0.111111111111111,47.7425,70.3771313985349,51,0.894736842105263
282,41,201041,"10Oct2010",29,NA,19.46,23.9588691382073,35.67,6.21006944444444,3.07638888888889,1.35416666666667,0.421875,6.05,0.0694444444444444,43.9582142857143,68.5237211298195,54,1.05882352941176
289,42,201042,"17Oct2010",28,NA,20.1225,23.6176603172647,34.7425,6.75694444444444,2.67881944444444,0.831597222222222,0.196180555555556,18.725,0.328125,52.9121428571429,75.3298622837559,57,1.05555555555556
296,43,201043,"24Oct2010",34,NA,20.8135714285714,25.0506969526312,40.3425,6.76909722222222,3.640625,1.58506944444444,0.597222222222222,81.3,0.451388888888889,44.3771428571429,74.8768168187117,62,1.08771929824561
303,44,201044,"31Oct2010",44,NA,21.2232142857143,25.4109842238218,39.365,6.94618055555556,3.67881944444444,1.64409722222222,0.661458333333333,24.05,0.324652777777778,52.4167857142857,75.096415355133,78,1.25806451612903
310,45,201045,"7Nov2010",50,NA,20.7389285714286,24.3153932895849,37.995,6.78472222222222,3.03645833333333,1.43402777777778,0.614583333333333,12.65,0.223958333333333,52.7382142857143,75.4946583191653,94,1.20512820512821
317,46,201046,"14Nov2010",54,NA,21.3739285714286,25.0301270771542,36.745,6.68576388888889,3.59201388888889,1.44270833333333,0.578125,17.55,0.220486111111111,54.2992857142857,78.4365240094004,104,1.1063829787234
324,47,201047,"21Nov2010",75,NA,22.8871428571429,26.5583942807161,36.0775,6.87847222222222,5.05208333333333,2.25173611111111,0.659722222222222,15.9,0.237847222222222,55.5828571428571,80.6889426279142,129,1.24038461538462
331,48,201048,"28Nov2010",102,NA,25.3589285714286,29.8222045552339,41.1425,6.83506944444444,6.44618055555556,3.95138888888889,2.01215277777778,103.35,0.300347222222222,45.8217857142857,73.2976224124771,177,1.37209302325581
338,49,201049,"5Dec2010",112,NA,24.6146428571429,28.6201655704665,40.035,6.78472222222222,5.99652777777778,3.50868055555556,1.38715277777778,6.2,0.114583333333333,50.7907142857143,75.7243932917882,214,1.2090395480226
345,50,201050,"12Dec2010",143,NA,24.865,28.9976536202665,42.9725,6.95486111111111,6.13888888888889,3.50694444444444,1.66840277777778,41.45,0.493055555555556,48.8928571428571,76.3645158785814,255,1.19158878504673
352,51,201051,"19Dec2010",118,NA,24.9475,28.9907188980867,40.01,6.76041666666667,5.99305555555556,3.39236111111111,1.63020833333333,40.8,0.274305555555556,51.7260714285714,77.1761690494022,261,1.02352941176471
359,52,201052,"26Dec2010",118,NA,22.9007142857143,26.2905103831866,34.425,6.98090277777778,5.00868055555556,2.12326388888889,0.472222222222222,53.95,0.522569444444444,56.0764285714286,81.2342645906729,236,0.904214559386973
366,53,201101,"2Jan2011",205,NA,24.7246428571429,28.9532028505596,40.6425,6.25173611111111,5.26909722222222,3.19791666666667,1.484375,18.65,0.454861111111111,51.1089285714286,73.7113583708698,323,1.36864406779661
373,54,201102,"9Jan2011",269,71,25.1185714285714,29.0346684475094,42.445,6.79166666666667,6.27604166666667,3.58159722222222,1.47743055555556,51.3,0.439236111111111,47.7642857142857,77.7320906977702,474,1.46749226006192
380,55,201103,"16Jan2011",269,60,26.555,31.2464468805222,41.575,6.92708333333333,6.859375,4.66666666666667,2.74652777777778,5.8,0.0295138888888889,41.1935714285714,69.5878950567244,538,1.13502109704641
387,56,201104,"23Jan2011",461,73,26.4560714285714,31.5254539506997,42.8025,6.90277777777778,6.83506944444444,4.68229166666667,2.92013888888889,0.05,0.00173611111111111,36.2289285714286,61.7083976299917,730,1.35687732342007
394,57,201105,"30Jan2011",740,108,25.8389285714286,30.8652539417249,43.245,6.97395833333333,6.828125,4.74305555555556,2.40451388888889,8.25,0.0642361111111111,40.5167857142857,65.8184135146238,1201,1.64520547945205
401,58,201106,"6Feb2011",1112,203,26.9392857142857,32.0945548110124,43.09,6.75,6.71875,5.11111111111111,2.98611111111111,0,0,34.3521428571429,58.3505720579024,1852,1.54204829308909
408,59,201107,"13Feb2011",1432,218,25.9528571428571,30.2658100844852,42.38,6.90104166666667,6.83680555555556,4.13541666666667,2.19791666666667,0,0,38.5489285714286,64.2730873600272,2544,1.37365010799136
415,60,201108,"20Feb2011",1521,248,25.7171428571429,29.9027397909142,41.2875,6.96354166666667,6.87847222222222,3.85243055555556,2.12673611111111,5.9,0.078125,41.8385714285714,68.5269614629376,2953,1.16077044025157
422,61,201109,"27Feb2011",1393,251,22.4167857142857,25.1273728053126,35.5775,6.84375,4.00520833333333,1.27083333333333,0.276041666666667,28.85,0.640625,64.2292857142857,85.6750940334467,2914,0.98679309177108
429,62,201110,"6Mar2011",1509,196,23.7767857142857,26.4949181547619,35.2775,7,5.38541666666667,2.18229166666667,0.404513888888889,18.35,0.255208333333333,60.9621428571429,85.0649801587302,2902,0.995881949210707
436,63,201111,"13Mar2011",2520,324,23.7614285714286,27.2827655677656,36.7175,6.99652777777778,5.43055555555556,2.77604166666667,0.880208333333333,21.2,0.352430555555556,49.9482142857143,78.6586932358037,4029,1.38835286009649
443,64,201112,"20Mar2011",3912,695,23.9389285714286,27.4572121967919,39.985,6.99652777777778,5.38541666666667,2.61631944444444,1.10243055555556,11.65,0.107638888888889,52.0046428571429,77.9717875612124,6432,1.59642591213701
450,65,201113,"27Mar2011",4299,800,NA,26.9755957273221,36.665,6.49652777777778,5.24479166666667,2.38715277777778,0.737847222222222,34.675,0.517361111111111,Inf,82.6385757521446,8211,1.27658582089552
457,66,201114,"3Apr2011",5172,789,NA,26.4612496635425,35.7125,6.32638888888889,4.58854166666667,2.13368055555556,0.609375,7.75,0.0972222222222222,Inf,77.3660957345205,9471,1.15345268542199
464,67,201115,"10Apr2011",4405,808,25.1735714285714,29.1023729915917,37.595,6.99131944444444,6.54861111111111,3.67361111111111,1.65625,0,0,47.9657142857143,74.9854737103175,9577,1.01119205997255
471,68,201116,"17Apr2011",3679,639,24.0167857142857,28.3511069537227,37.9825,6.99131944444444,5.99826388888889,3.29513888888889,1.35416666666667,23.6,0.104166666666667,45.9542857142857,73.4433752423172,8084,0.844105669833977
478,69,201117,"24Apr2011",3978,621,21.4403571428571,24.9131337257272,36.23,6.93229166666667,3.78645833333333,1.41840277777778,0.463541666666667,133.325,0.536458333333333,57.8982142857143,81.612974224349,7657,0.947179614052449
485,70,201118,"1May2011",3200,526,21.6664285714286,24.8047631014819,34.1,6.99652777777778,3.69618055555556,1.10069444444444,0.243055555555556,4.1,0.0486111111111111,54.0046428571429,76.8388192363192,7178,0.937442862739976
492,71,201119,"8May2011",2831,671,20.3103571428571,23.3304067460317,31.7175,6.890625,2.5625,0.694444444444444,0.0625,38.3,0.335069444444444,62.7578571428571,83.851525297619,6031,0.84020618556701
499,72,201120,"15May2011",2263,450,17.9932142857143,21.1882506035631,28.8825,5.94618055555556,1.44097222222222,0.133680555555556,0,31.8,0.378472222222222,58.7228571428571,80.7603803488178,5094,0.844636047090035
506,73,201121,"22May2011",1644,289,18.4871428571429,22.053762962634,31.84,6.29513888888889,1.67361111111111,0.703125,0.123263888888889,31.65,0.369791666666667,54.85,77.7872440462999,3907,0.766980761680408
513,74,201122,"29May2011",1460,244,18.3896428571429,21.7396270877499,30.675,6.125,1.67013888888889,0.274305555555556,0.0260416666666667,7.75,0.109375,52.5442857142857,76.535908810966,3104,0.794471461479396
520,75,201123,"5Jun2011",919,159,17.0475,20.8649027285801,30.0425,5.5,1.41319444444444,0.244791666666667,0.0138888888888889,12.8,0.199652777777778,49.9767857142857,74.997509233724,2379,0.766430412371134
527,76,201124,"12Jun2011",687,152,17.2942857142857,21.3089455152842,30.3275,5.79166666666667,1.61631944444444,0.355902777777778,0.00694444444444444,8.25,0.0920138888888889,47.8714285714286,75.9612505206381,1606,0.675073560319462
534,77,201125,"19Jun2011",430,130,19.56,23.1163122359864,32.485,6.74652777777778,2.29340277777778,0.708333333333333,0.125,4.4,0.0694444444444444,55.8735714285714,80.2345074171962,1117,0.695516811955168
541,78,201126,"26Jun2011",357,174,17.8271428571429,21.2323796552886,30.92,5.78125,1.36631944444444,0.309027777777778,0.0329861111111111,5.7,0.0920138888888889,56.4332142857143,79.6437981979604,787,0.704565801253357
548,79,201127,"3Jul2011",254,109,15.16,18.239382527195,28.9675,3.17708333333333,0.355902777777778,0.0868055555555556,0,10.6,0.234375,61.9767857142857,80.986409233128,611,0.776365946632783
555,80,201128,"10Jul2011",213,89,17.8092857142857,22.4744137286325,32.4375,6.09201388888889,2.17881944444444,0.986111111111111,0.213541666666667,0,0,43.9203571428571,75.2462866473804,467,0.764320785597381
562,81,201129,"17Jul2011",162,95,20.0242857142857,22.9159383325008,33.9475,6.81423611111111,2.22222222222222,0.647569444444444,0.185763888888889,9.85,0.236111111111111,58.3942857142857,78.6682957493895,375,0.802997858672377
569,82,201130,"24Jul2011",144,76,19.265,23.6221155896812,35.425,6.34027777777778,2.82291666666667,1.05729166666667,0.295138888888889,0.4,0.0138888888888889,41.5210714285714,67.6208718361521,306,0.816
576,83,201131,"31Jul2011",111,56,18.1639285714286,22.0059689182564,31.725,5.83854166666667,1.92708333333333,0.550347222222222,0.119791666666667,5.15,0.119791666666667,48.8982142857143,72.004742999888,255,0.833333333333333
583,84,201132,"7Aug2011",120,57,19.395,23.4071381396381,34.6025,6.66319444444444,2.53125,0.930555555555556,0.237847222222222,5.65,0.104166666666667,51.2675,76.3901811462498,231,0.905882352941176
590,85,201133,"14Aug2011",124,75,19.7782142857143,24.476500911312,37.8575,6.43055555555556,3.32986111111111,1.546875,0.678819444444444,8.8,0.15625,42.8360714285714,68.5711014276272,244,1.05627705627706
597,86,201134,"21Aug2011",92,43,19.2203571428571,22.6775933778523,33.3375,6.27604166666667,2.375,0.696180555555556,0.190972222222222,2.2,0.0729166666666667,57.9121428571429,78.8327039884718,216,0.885245901639344
604,87,201135,"28Aug2011",82,91,18.495,22.9594139489716,40.6925,5.75173611111111,2.43576388888889,1.09548611111111,0.567708333333333,4.4,0.0798611111111111,38.5517857142857,61.9414248493584,174,0.805555555555556
611,88,201136,"4Sep2011",108,58,19.7353571428571,23.9441405498668,35.625,6.703125,2.92708333333333,1.16145833333333,0.298611111111111,0.45,0.0138888888888889,48.5839285714286,72.8746276640027,190,1.09195402298851
618,89,201137,"11Sep2011",98,59,18.3517857142857,21.6233035777901,32.125,6.46006944444444,1.36458333333333,0.409722222222222,0.0677083333333333,23.95,0.326388888888889,56.9921428571429,75.5961591186223,206,1.08421052631579
625,90,201138,"18Sep2011",162,42,19.1167857142857,23.4117939872627,35.3175,6.67708333333333,2.51909722222222,1.015625,0.310763888888889,1.7,0.0451388888888889,47.4814285714286,69.78090131626,260,1.2621359223301
632,91,201139,"25Sep2011",175,54,19.8857142857143,24.7683738073066,39.7925,6.41145833333333,3.22916666666667,1.52604166666667,0.574652777777778,0,0,42.9857142857143,68.5438981108137,337,1.29615384615385
639,92,201140,"2Oct2011",173,68,21.065,25.004702241372,37.8275,6.89756944444444,3.31076388888889,1.49305555555556,0.654513888888889,14.95,0.241319444444444,50.0107142857143,72.9301048505616,348,1.0326409495549
646,93,201141,"9Oct2011",194,61,21.51,25.2862406838912,38.8025,6.56597222222222,3.45138888888889,1.63888888888889,0.651041666666667,37.5,0.479166666666667,57.8617857142857,80.4930094255712,367,1.05459770114943
653,94,201142,"16Oct2011",179,88,18.4182142857143,21.7148365068946,32.0925,6.42708333333333,1.43923611111111,0.355902777777778,0.0486111111111111,48.875,0.602430555555556,57.2557142857143,76.9699599871164,373,1.01634877384196
660,95,201143,"23Oct2011",232,101,21.6660714285714,27.0713174564397,39.73,6.95659722222222,4.64583333333333,2.59895833333333,1.30034722222222,14.35,0.0694444444444444,41.5,67.3010738942672,411,1.10187667560322
667,96,201144,"30Oct2011",218,81,17.5035714285714,21.4652626189366,32.32,5.83159722222222,1.59548611111111,0.479166666666667,0.0711805555555556,10.65,0.222222222222222,47.5982142857143,69.061101810563,450,1.09489051094891
674,97,201145,"6Nov2011",304,82,21.8367857142857,26.3989035969377,37.9025,6.93923611111111,4.4375,2.26215277777778,0.878472222222222,9.1,0.123263888888889,46.7410714285714,70.2803257945918,522,1.16
681,98,201146,"13Nov2011",252,85,20.0003571428571,22.8804052718115,31.195,6.86111111111111,2.16493055555556,0.399305555555556,0.00868055555555556,33.95,0.505208333333333,62.4139285714286,80.2361504988068,556,1.06513409961686
688,99,201147,"20Nov2011",401,71,21.8832142857143,25.6454415861008,39.5425,6.96180555555556,3.82291666666667,1.66145833333333,0.637152777777778,29.05,0.315972222222222,55.425,76.8095642906668,653,1.17446043165468
695,100,201148,"27Nov2011",418,97,21.4303571428571,25.0026510414957,40.1825,6.99305555555556,3.51215277777778,1.41319444444444,0.550347222222222,8.1,0.182291666666667,54.8717857142857,75.8117924390262,819,1.2542113323124
702,101,201149,"4Dec2011",502,78,22.3535714285714,25.4850523955211,37.295,6.99826388888889,3.92708333333333,1.55381944444444,0.397569444444444,13.05,0.182291666666667,59.4346428571429,79.9104884525197,920,1.12332112332112
709,102,201150,"11Dec2011",581,98,23.1975,27.6562962384837,40.8675,6.99826388888889,5.61284722222222,2.78298611111111,1.19618055555556,47.3,0.338541666666667,48.7510714285714,75.3296721681097,1083,1.17717391304348
716,103,201151,"18Dec2011",512,107,24.5932142857143,29.9028042524689,42.2675,6.98611111111111,6.35763888888889,3.86805555555556,2.08333333333333,23,0.256944444444444,37.3439285714286,65.0480805409615,1093,1.00923361034164
723,104,201152,"25Dec2011",535,61,NA,24.3632064065261,33.0825,6.10069444444444,3.22916666666667,0.824652777777778,0.118055555555556,74.75,1.02430555555556,Inf,86.5062907028406,1047,0.957913998170174
